LLM model,Parameters (billions),Source,Year released,Country of the organization(s) that trained the model,PUE,Source for PUE value,GPU Used,WUE onsite (L/kWh),Offsite WUE (L/kWh),Source for WUE onsite value,Source for WUE offsite value,GPU hours,Estimated IT energy during training (kWh),Estimated onsite water consumption (L),Estimated offsite water consumption (L),Estimated total water consumption (L),Sum of total water consumption (L)
Llama 2,7,https://github.com/meta-llama/llama/blob/main/MODEL_CARD.md,2023,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,A100 ,0.2,3.62,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2023, sourced from Vries-Gao (2026)",1.84E+05,7.37E+04,1.47E+04,2.88E+05,3.03E+05,4.90E+08
Llama 2,13,https://github.com/meta-llama/llama/blob/main/MODEL_CARD.md,2023,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,A100 ,0.2,3.62,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2023, sourced from Vries-Gao (2026)",368640,147456,29491.2,576493.9776,605985.1776,
Llama 2,70,https://github.com/meta-llama/llama/blob/main/MODEL_CARD.md,2023,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,A100 ,0.2,3.62,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2023, sourced from Vries-Gao (2026)",1720320,688128,137625.6,2690305.229,2827930.829,
Llama 3,8,https://github.com/meta-llama/llama-models/blob/main/models/llama3/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",1.30E+06,9.10E+05,1.64E+05,3.87E+06,4.04E+06,
Llama 3,70,https://github.com/meta-llama/llama-models/blob/main/models/llama3/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",6.40E+06,4.48E+06,8.06E+05,1.91E+07,1.99E+07,
Llama 3.1,8,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",1.46E+06,1.02E+06,1.84E+05,4.35E+06,4.53E+06,
Llama 3.1,70,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",7.00E+06,4.90E+06,8.82E+05,2.09E+07,2.17E+07,
Llama 3.1,405,https://github.com/meta-llama/llama-models/blob/main/models/llama3_1/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",3.08E+07,2.16E+07,3.89E+06,9.19E+07,9.57E+07,
Llama 3.2,1,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)","370,000",259000,46620,1102096.8,1148716.8,
Llama 3.2,3,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)","460,000",322000,57960,1370174.4,1428134.4,
Llama 3.2 QLoRA,1,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",1300,910,163.8,3872.232,4036.032,
Llama 3.2 QLoRA,3,https://github.com/meta-llama/llama-models/blob/main/models/llama3_2/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",1600,1120,201.6,4765.824,4967.424,
Llama 3.3,70,https://github.com/meta-llama/llama-models/blob/main/models/llama3_3/MODEL_CARD.md,2024,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",7.00E+06,4.90E+06,8.82E+05,2.09E+07,2.17E+07,
Llama 4 Scout,109,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md,2025,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",5.00E+06,3.50E+06,6.30E+05,1.49E+07,1.55E+07,
Llama 4 Maverick,400,https://github.com/meta-llama/llama-models/blob/main/models/llama4/MODEL_CARD.md,2025,USA,1.08,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,H100,0.18,3.94,Meta's data center: https://www.datacenterdynamics.com/en/news/meta-data-center-electricity-consumption-hits-14975gwh-leased-data-center-use-nearly-doubles/ ,"Meta reported offsite WUE in 2024, sourced from Vries-Gao (2026)",2.38E+06,1.67E+06,3.00E+05,7.09E+06,7.39E+06,
StarcoderBase,15.5,Starcoder paper,2023,Global,1.2,"StarcoderBase paper, p.17; authors assume PUE of 1.2",H100,0.16,9.5,"Trained on US west AWS servers, so the WUE can be found here: https://sustainability.aboutamazon.com/products-services/aws-cloud#water-positive ","Oregon (US west) power grid average from Rieg et al. (2020), Appendix 2","320,256",89671.68,14347.4688,1022257.152,1036604.621,
Starcoder 2,3,Starcoder 2 paper,2024,Global,1.15,"Servers used were most likely AWS due to the partnership, also AWS average PUE value was 1.15 in 2024, see: https://aws.amazon.com/sustainability/data-centers/ and https://newsroom.servicenow.com/press-releases/details/2023/ServiceNow-announces-a-Strategic-Collaboration-Agreement-with-AWS-11-29-2023-traffic/default.aspx ",H100,0.15,7.02,"ServiceNow might have used AWS servers to do the training, thus this is the AWS average WUE in 2024: https://sustainability.aboutamazon.com/products-services/aws-cloud#water-positive ","AWS average based on trn1 data center server locations and Rieg et al. (2020) estimates, see sheet labelled Energy Mixes for calculation","97,120",38848,5827.2,313619.904,319447.104,
Starcoder 2,7,Starcoder 2 paper,2024,Global,1.15,Model was most likely trained on AWS servers given that it was trained by Hugging Face and they have collaborated with AWS since 2023: https://huggingface.co/docs/sagemaker/en/index and https://aws.amazon.com/sustainability/data-centers/ ,H100,0.15,7.02,"HuggingFace might have used AWS infrastructure to train this model, 0.15 is the 2024 AWS average WUE: https://sustainability.aboutamazon.com/products-services/aws-cloud#water-positive ","AWS average based on trn1 data center server locations and Rieg et al. (2020) estimates, see sheet labelled Energy Mixes for calculation","146,753",96857.1318,14528.56977,781927.625,796456.1948,
BLOOM,176,Luccioni et al. (2022),2022,France,1.55,"French average datacenter PUE, see: https://op.europa.eu/en/publication-detail/-/publication/83be4c3e-5c79-11f0-a9d0-01aa75ed71a1/language-en , p.34",A100 ,0.25,3.67,"French average WUE, see: https://op.europa.eu/en/publication-detail/-/publication/83be4c3e-5c79-11f0-a9d0-01aa75ed71a1/language-en , p. 39","French average offsite WUE from Rieg et al. (2020), Appendix 2","1,082,990","433,196",108299,2464235.446,2572534.446,
BERT base,0.11,Strubell et al. (2019),2018,USA,1.58,"Data unavailable, thus an industry average is used for 2018: https://uptimeinstitute.com/about-ui/press-releases/uptime-institute-10th-annual-global-data-center-survey ",V100,1.8,4.81,Data unavailable for NVIDIA servers; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,Worldwide average from Rieg et al. (2020),96,953.7974684,1716.835443,7248.67,8965.505443,
LLM 360/K2,65,"LLM360 K2:
Building a 65B 360-Open-Source Large
Language Model from Scratch",2024,UAE & USA,1.5,Data unavailable for NVIDIA servers; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,A100,1.8,4.81,Data unavailable for NVIDIA servers; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,Worldwide average from Rieg et al. (2020),1152000,391680,705024,2825971.2,3530995.2,
DistilGPT2,0.082,https://huggingface.co/distilbert/distilgpt2,2019,USA,1.17,"Microsoft published a blog post in 2022 discussing the PUE and WUE of their servers as of 2021, which is likely more relevant than recent data since DistilGPT2 was trained in 2019: https://azure.microsoft.com/en-us/blog/how-microsoft-measures-datacenter-water-and-energy-use-to-improve-azure-cloud-sustainability/ ",V100,0.55,2.385,"Microsoft published a blog post in 2022 discussing the PUE and WUE of their servers as of 2021, which is likely more relevant than recent data since DistilGPT2 was trained in 2019: https://azure.microsoft.com/en-us/blog/how-microsoft-measures-datacenter-water-and-energy-use-to-improve-azure-cloud-sustainability/ ","On HuggingFace, the DistilGPT2 page assumes US east (i.e. Virginia) for the location of the servers during training. This offsite WUE is the average for Virginia from Rieg et al. (2020) and is used in Li et al. (2025)",1344,403.2,221.76,1125.10944,1346.86944,
DeepScaleR,1.5,https://pretty-radio-b75.notion.site/DeepScaleR-Surpassing-O1-Preview-with-a-1-5B-Model-by-Scaling-RL-19681902c1468005bed8ca303013a4e2 ,2025,USA,1.5,Data unavailable for specific servers used; industry average used instead: https://www.cfp.energy/en/insights/data-centre-power-consumption ,A100,1.8,4.81,"Data unavailable for servers used, industry average used instead: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ",Worldwide average from Rieg et al. (2020),"3,800",1520,2736,10966.8,13702.8,
GPT-3,175,Patterson et al. 2021,2020,USA,1.18,"Microsoft published a blog post in 2022 discussing the PUE and WUE of their servers as of 2021, which is likely more relevant than recent data since GPT-3 was trained in 2020, here the global average PUE is used due to the location of GPT-3 training being unknown: https://azure.microsoft.com/en-us/blog/how-microsoft-measures-datacenter-water-and-energy-use-to-improve-azure-cloud-sustainability/   ",V100,0.49,3.64,"Microsoft published a blog post in 2022 discussing the PUE and WUE of their servers as of 2021, which is likely more relevant than recent data since GPT-3 was trained in 2020, here the global average PUE is used due to the location of GPT-3 training being unknown: https://azure.microsoft.com/en-us/blog/how-microsoft-measures-datacenter-water-and-energy-use-to-improve-azure-cloud-sustainability/   ",Microsoft server average estimate from Li et al. (2025),3552000,1.15E+06,5.66E+05,4.96E+06,5.52E+06,
GPT-4,1800,https://towardsdatascience.com/the-carbon-footprint-of-gpt-4-d6c676eb21ae/,2023,USA,1.16,GPT-4 was trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,A100,0.3,3.64,GPT-4 was trained on Microsoft's Azure cloud infrastructure; Microsoft published global average PUE and WUE data during 2023 and 2024: https://datacenters.microsoft.com/sustainability/efficiency/ ,Microsoft server average estimate from Li et al. (2025),8125000,52812500,15843750,222995500,238839250,
DeepSeek R1-Zero,685,https://crfm.stanford.edu/fmti/December-2025/company-reports/DeepSeek_FinalReport_FMTI2025.html,2025,China,1.5,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,H800,1.8,6.02,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,"China average from Rieg et al. (2020), Appendix 2",101376,70963.2,127733.76,640797.696,768531.456,
DeepSeek R1,671,"https://edition.cnn.com/2025/09/19/business/deepseek-ai-training-cost-china-intl   ,   https://reglobal.org/china-and-us-electricity-review-ember/  , https://rmi.org/wp-content/uploads/dlm_uploads/2024/11/Powering_the_Data_Center_Boom_with_Low_Carbon_Solutions_report.pdf ",2025,China,1.5,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,H800,1.8,6.02,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,"China average from Rieg et al. (2020), Appendix 2",40960,28672,51609.6,258908.16,310517.76,
DeepSeek V3,671,DeepSeek V3 paper (https://arxiv.org/abs/2412.19437) ,2024,China,1.5,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://www.cfp.energy/en/insights/data-centre-power-consumption ,H800,1.8,6.02,Data unavailable for DeepSeek's servers/cloud infrastructure; thus an industry average is used: https://airsysnorthamerica.com/data-center-energy-efficiency-which-metrics-matter-most/ ,"China average from Rieg et al. (2020), Appendix 2","2,788,000",1951600,3512880,17622948,21135828,
